#,include,lang,id,plot color,lang color,boxskip,treeskip,plotskip,doubt,complex,language,script,term,script alt,term alt,IPA,literal,meaning_id,meaning,explanation,remark,etymons,cognates,derivates,compare,note,loanword,donor,date,century,period,based on,att page,attested,att link,source page,source,source link,ref page,reference,ref link,ref page2,reference2,ref link2,done,,,
3,yes,en,pimento,,,,,,,and partly,Spanish,,pimiento,,,,,hot and sweet pepper; formerly also black pepper; pepper plant of both kinds,hot and sweet pepper; formerly also black pepper; pepper plant of both kinds,earlier \textit{pimienta} `black pepper; peppercorn; ground pepper' \nth{13} c.,,,,,,,,yes,1495,15,,,,,,pimiento,oed,https://www.oed.com/view/Entry/144002?,pimiento,DLE,https://dle.rae.es/pimienta?m=form,,DLE,https://dle.rae.es/pimiento?m=form,yes,,,
4,yes,en,pimento,,,,,,,,Medieval Latin,,pigmenta,,,,,plant juice; food seasoning; condiment; spices; perfumes,plant juice; food seasoning; condiment; spices; perfumes,plural of \textit{pigmentum},,,,,,,,,,9,,,,,,,[415]{gomez_de_silva_elseviers_1985}[495]{corominas_breve_1987},,,LS,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Dpigmentum,,,,yes,,,
5,yes,en,pimento,,,,,,,,Latin,,pigmentum,,,,,"colour, paint; ointment; drug; spiced wine","colour, paint; ointment; drug; spiced wine",from \textit{pingō} `to paint' + \textit{-mentum} `instrument',,,,,,,,,,1,,,,,,pigmentum,lewis_latin_1879,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Dpigmentum,,LS,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Dpigmentum,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,en,anise,darkseagreen,,,,,,,English,,anise,,,,,,,,,,,,,,yes,,c1325,14,,,,,,,[anise]{oed}[anise]{ahd},https://www.oed.com/view/Entry/7811,,oed,https://www.oed.com/view/Entry/7811?,,OE,https://www.etymonline.com/word/anise,yes,,,
2,yes,en,anise,,,,,,,,French,,anis,,,,,id.,anise,,,,,,,,yes,yes,1236,13,,,,,,anis,tlfi,https://www.cnrtl.fr/etymologie/anis,,tlfi,https://www.cnrtl.fr/etymologie/anis,,,,yes,,,
3,yes,en,anise,,,,,,,,Latin,,anīsum,,,,,id.,anise,,dill is \textit{anēthum},,,,,,yes,yes,,1,,,,,,,lewis_latin_1879,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Danisum,,lewis_latin_1879,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Danisum,,LS,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0059%3Aentry%3Danethum,yes,,,
4,yes,en,anise,,,,,,,,Ancient Greek,ἄνισον,ánison,ἄνηθον; ἄνησον; ἄνητον,ánēthon; ánēson; ánēton,,,anise; dill,anise; dill,"and other Greek dialectal variants, e.g.: \textit{ánēthon}; included both plants, only later distinguished",probaby of substrate origin,,,,,,yes,yes,,-5,,,,,,,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)/nnhson,,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)/nnhson,,LSJ,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0057%3Aentry%3Da)%2Fnhqon,yes,,,
5,yes,en,anise,,,,,,yes,,Egyptian (Ancient),,jnst,,,,,"a medicinal, edible plant (probably anise)","a medicinal, edible plant (probably anise)",,,,,,,,,yes,,-17,Middle Kingdom,,,,,,[99]{erman_worterbuch_1926}[240]{hemmerdinger_noms_1968},,,ahd,https://www.ahdictionary.com/word/search.html?q=anise,,Wiki,https://en.wiktionary.org/wiki/jnst#Egyptian,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,ar,anisun,darkseagreen,,,,,,,Arabic,أنيسون,anīsūn,يانسون,yānsūn,,,anise,anise,,later assimilated as \ar{يانسون} \textit{yānsūn},,,,,,yes,,a791,8,,KSUCCA,,,,,wehr_dictionary_1976,,,,,,,,yes,,,
2,yes,ar,anisun,,,,,,,,Ancient Greek,ἄνισον,ánison,ἄνηθον; ἄνησον; ἄνητον,ánēthon; ánēson; ánēton,,,anise; dill,anise; dill,"and other Greek dialectal variants, e.g.: \textit{ánēthon}; included both plants, only later distinguished",probaby of substrate origin,,,,,,yes,yes,,-5,,,,,,,liddell_greek-english_1940,,,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)/nnhson,,LSJ,http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A1999.04.0057%3Aentry%3Da)%2Fnhqon,yes,,,
3,yes,ar,anisun,,,,,,yes,,Egyptian (Ancient),,jnst,,,,,"a medicinal, edible plant (probably anise)","a medicinal, edible plant (probably anise)",,,,,,,,,yes,c2030-1650 BC,-17,Middle Kingdom,,,,,,[99]{erman_worterbuch_1926}[240]{hemmerdinger_noms_1968},,,ahd,https://www.ahdictionary.com/word/search.html?q=anise,,Wiki,https://en.wiktionary.org/wiki/jnst#Egyptian,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,zh,huiqin,darkseagreen,,,,,,,Mandarin Chinese,茴芹,huíqín,,,,hui-celery,anise,anise,from \textit{hui} `anise/fennel' + \textit{qin} `celery',"茴 \textit{huí} could be interpreted as `Muslim spice', see 茴香 \textit{huíxiāng} `fennel'",,,,,,,,1841,19,Modern,Books,,,https://books.google.com.hk/books?id=I46RwQP667QC&pg=PA715&dq=%22%E8%8C%B4%E8%8A%B9%22&hl=en&sa=X&ved=2ahUKEwiZm5mBmJb5AhUF_mEKHdTADd8Q6AF6BAgEEAI#v=onepage&q=%22%E8%8C%B4%E8%8A%B9%22&f=false,,"kleeman_oxford_2010, hu_food_2005",,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,en,asafoetida,gold,e1,,,,,,English,,asafoetida,,assafœtida,,,,,,,,,,,,yes,,a1398,14,Medieval,,,,,asafoetida,oed,https://www.oed.com/view/Entry/11311,asafoetida,oed,https://www.oed.com/view/Entry/11311,,OE,https://www.etymonline.com/word/asafetida,yes,,,
2,yes,en,asafoetida,,,,,,,,Medieval Latin,,asafoetida,,asafœtida,,stinking asa,,,,,,,,,Laufer disagrees,,yes,,,Medieval,,,,,353,laufer_sino-iranica_1919,http://dsr.nii.ac.jp/toyobunko/III-5-C-22/V-1/page-hr/0179.html.en,353,laufer_sino-iranica_1919,http://dsr.nii.ac.jp/toyobunko/III-5-C-22/V-1/page-hr/0179.html.en,,,,yes,,,
3,yes,en,asafoetida,,,,,,yes,from,Persian,,āzā,,,,,mastic,mastic,"in a Lanized form, \textit{asa}",,,,,,,,,,,,,,,,42,steingass_comprehensive_1892,,,,,,,,yes,,,
4,yes,en,asafoetida,,,,,yes,,and from,Latin,,foetid,,fœtid,,,"ill-smelling, stinking","ill-smelling, stinking",,feminine of \textit{fœtidus},,,,,"there is also assa dulcis, check Lane",,,,,,,,,,,,,,,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,en,hing,gold,e2,,,,,,English,,hing,,hinge,,,asafoetida,asafoetida,,,,,,,,yes,,1599,16,,,,,,hing,oed,https://www.oed.com/view/Entry/87092,,oed,https://www.oed.com/view/Entry/87092,,,,yes,,,
2,yes,en,hing,,,,,,,,Hindi,हींग,hīng,,,,,id.,asafoetida,,,,,,,,,yes,,,,,,,,hing,oed,https://www.oed.com/view/Entry/87092,,,,,,,yes,,,
3,yes,en,hing,,,yes,yes,yes,,,Sauraseni Prakrit,𑀳𑀺𑀁𑀕𑀼,hiṃgu,,,,,id.,asafoetida,,,,,,,,,,,,,,,,,,Wiktionary,,,,,,,,yes,,,
4,yes,en,hing,,,,,,,,Sanskrit,हिङ्गु,hiṅgu,,,,,id.,asafoetida,,,,Sogdian 'ynkw,,,,,,,,,,,,,87,gharib_sogdian_1995,https://archive.org/details/SogdianDictionary/page/n152/mode/1up?view=theater,1298,MW,https://www.sanskrit-lexicon.uni-koeln.de/scans/MWScan/2014/web/webtc/servepdf.php?page=1298,,,,yes,,,
5,yes,en,hing,,,yes,yes,yes,,,Proto-Iranian*,,*Hángwr̥,,,,,"extract, resin","extract, resin",,"with an unexpected shift from *a to i, from the derivation *Hanguǰatu of which Iranian terms for asafoetida derive. cf. anjudan",,,,,,,,,,,,,,,87,gharib_sogdian_1995,https://archive.org/details/SogdianDictionary/page/n152/mode/1up?view=theater,87,gharib_sogdian_1995,https://archive.org/details/SogdianDictionary/page/n152/mode/1up?view=theater,,,,yes,,,
6,yes,en,hing,,,,,,,,Proto-Iranian*,,*aṅgu-ǰatu-,,,,,resin-gum,resin-gum,,,,,"Tokharian B, Khotanese",,,,,,,,,,,,7,adams_dictionary_2013,,,,https://en.wiktionary.org/wiki/Reconstruction:Proto-Iranian/Hangu%C7%B0atu,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,ar,hiltit,gold,a1,,,,,,Arabic,حلتيت,ḥiltīt,حلتيث,"ḥaltīt, ḥiltīth",,,asafoetida resin,asafoetida resin,,,,Hebrew \he{חִלְתִּית} \textit{ḥiltiṯ},,,,yes,,,,,,,,,140,fraenkel_aramaischen_1886,https://archive.org/details/diearamischenfr00fraegoog?view=theater#page/n170,79-80,lane_arabic-english_1863,http://arabiclexicon.hawramani.com/?p=1200#72b195,,,,yes,,,
2,yes,ar,hiltit,,,,,,,,Aramaic,\he{חלתיתא}/\sy{ܚܠܬܝܬܐ},ḥeltīṯā,,,,,id.,id.,,,,,,,,,yes,,,,,,,,,"[36]{low_aramaeische_1881}[vol. 3, p. 452-455]{low_flora_1924}",https://menadoc.bibliothek.uni-halle.de/ssg/content/pageview/591438,36,low_aramaeische_1881,https://menadoc.bibliothek.uni-halle.de/ssg/content/pageview/591438,,,https://sammlungen.ub.uni-frankfurt.de/freimann/content/pageview/104191,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,ar,anjudan,gold,a2,,,,,,Arabic,أنجدان,anjudān,أنجذان,anjudhān,,,,,,,,,,,,yes,,,,,,,,,79-80,lane_arabic-english_1863,,79-80,lane_arabic-english_1863,http://arabiclexicon.hawramani.com/?p=1200#72b195,,,,yes,,,
2,yes,ar,anjudan,,,,,,,,Persian,انگدان‎,angudān,,…,,,,,,,,,,,,,yes,,,,,,,,"114, 106",steingass_comprehensive_1892,,"114, 106",steingass_comprehensive_1892,https://dsal.uchicago.edu/cgi-bin/app/steingass_query.py?qs=%D8%A7%D9%86%DA%AF%D8%AF%D8%A7%D9%86%E2%80%8E&matchtype=default,,,,yes,,,
3,yes,ar,anjudan,,,,,,,,Proto-Iranian*,,*aṅgu-ǰatu-,,,,,resin-gum,resin-gum,,,,,"Tokharian B, Khotanese",,,,,,,,,,,,7,adams_dictionary_2013,,,Wiktionary,https://en.wiktionary.org/wiki/Reconstruction:Proto-Iranian/Hangu%C7%B0atu,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,zh,awei,gold,z1,,,,,,Mandarin Chinese,阿魏,āwèi,,,MC /ʔɑ ŋʉiH/,,asafoetida,asafoetida,,,,,,,"in BCGM, ayü (阿虞), xingyu (xingqu, 興渠[瞿], hing-yu, 形虞), and haxini (哈昔尼)",yes,,,7,,,,,,,leung_itinerary_2019,,,,,,,,yes,,,
2,yes,zh,awei,,,,,,,,Tokharian B,,ankwaṣ(ṭ),,,,,id.,asafoetida,,,,,,,,,yes,,,,,,,,353,laufer_sino-iranica_1919,,7,adams_dictionary_2013,,,,,yes,,,
3,yes,zh,awei,,,,,,,,Sogdian,,*angužat,,,,,id.,asafoetida,,,,,,,,,,,,,,,,,438,tremblay_irano-tocharica_2005,,438,tremblay_irano-tocharica_2005,,,,,yes,,,
4,yes,zh,awei,,,,,,,,Proto-Iranian*,,*aṅgu-ǰatu-,,,,,resin-gum,resin-gum,,,,,,,,,,,,,,,,,,,,7,adams_dictionary_2013,https://en.wiktionary.org/wiki/Reconstruction:Proto-Iranian/Hangu%C7%B0atu,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,zh,xingqu,gold,z2,,,,,,Mandarin Chinese,興蕖/興渠/興瞿,xīngqú,,,MC /hɨŋ ɡɨʌ/,,asafoetida,asafoetida,phonetic transcription,,,,,,"just the word, without the material",yes,,,5,,,,,,,leung_itinerary_2019,,,,,,,,yes,,,
2,yes,zh,xingqu,,,,,,,,Sanskrit,हिङ्गु,hiṅgu,,,,,id.,asafoetida,,,,,,,,yes,yes,,,,,,,,353,laufer_sino-iranica_1919,,,,,,,,yes,,,
3,yes,zh,xingqu,,,,,,,,Proto-Iranian*,,*aṅgu-ǰatu-,,,,,resin-gum,resin-gum,,,,,"Tokharian B, Khotanese",,,,yes,,,,,,,,7,adams_dictionary_2013,,,,https://en.wiktionary.org/wiki/Reconstruction:Proto-Iranian/Hangu%C7%B0atu,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,en,caraway,peru,e1,,,,,,English,,caraway,,,,,,caraway,,,,,,,,yes,,c1440,15,,,,,,caraway,oed,https://www.oed.com/view/Entry/27725,,,,,,,yes,,,
2,yes,en,caraway,,,,,,,,Medieval Latin,,carui,,,,,id.,caraway,or some allied Romanic form,,,"French \textit{carvi}, Italian \textit{carvi}, Spanish \textit{carvi}; Old Spanish \textit{alcaravea}, \textit{alcarahueya}, Portuguese \textit{alcaravia}, \textit{alcorovia}",,,,yes,yes,c1080,11,,,,,,caraway,ahd,https://www.ahdictionary.com/word/search.html?q=caraway,,,,,,,yes,,,
3,yes,en,caraway,,,,,,,,Arabic,كراويا,karāwiyā,كروياء,karawyā',,,id.,caraway,,"loaned to some Eurropean languages with \textit{al-} definite article, via Andalusian Arabic",,,,,,yes,yes,,,,,,,,,[74]{corriente_dictionary_2008}[carvi]{tlfi},,,,,,,,yes,,,
4,yes,en,caraway,,,,,,,,Aramaic,\he{כַרְוָיָא}/\sy{ܟܲܪܘܵܝܵܐ},karwāyā,,,,,id.,caraway,,,,,,,,yes,yes,,,,,,,,,[207]{low_aramaeische_1881}[437-438]{low_flora_1924},,cal,,https://cal.huc.edu/oneentry.php?lemma=krwy+N&cits=all,,,,yes,,,
5,yes,en,caraway,,,,,,,,Ancient Greek,καρώ,karṓ,κάρον; κάρεον,káron; káreon,,,id.,caraway,"a form of the word \textit{káron}, derived from \textit{káre} `head'; -ṓ form seems Pre-Greek","these forms could not immediately give the Arabic, hence possibly via *καρυΐα \textit{*karuḯa} a typical plant derivation form of καρώ \textit{karṓ}, κάρον \textit{káron}",,"Latin \textit{carum, careum}",,,,,yes,,,,,,,,,[653]{beekes_etymological_2010}[599]{sokoloff_dictionary_2002},http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/ri&highlight=caraway,,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/ri&highlight=caraway,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,ar,karawiya,peru,a1,,,,,,Arabic,,karawiyā,,karwiyā,,,caraway,caraway,,loaned to some Eurropean languages with \textit{al-} definite article; via Andalusian Arabic,,,,,,yes,,,,,,,,,74,corriente_dictionary_2008,,,,,,,,yes,,,
2,yes,ar,karawiya,,,,,,,,Aramaic,\he{כַרְוָיָא‎}/\sy{ܟܲܪܘܵܝܵܐ},karwāyā,,,,,id.,caraway,,,,,,,,yes,yes,,,,,,,,,[207]{low_aramaeische_1881}[437-438]{low_flora_1924},,cal,,https://cal.huc.edu/oneentry.php?lemma=krwy+N&cits=all,,,,yes,,,
3,yes,ar,karawiya,,,,,,,,Ancient Greek,καρώ,karṓ,κάρον; κάρεον,káron; káreon,,,id.,caraway,"a form of the word \textit{káron}, derived from \textit{káre} `head'; -ṓ form seems Pre-Greek","these forms could not immediately give the Arabic, hence possibly via *καρυΐα \textit{*karuḯa} a typical plant derivation form of καρώ \textit{karṓ}, κάρον \textit{káron}",,"Latin \textit{carum, careum}",,,,,yes,,,,,,,,,[653]{beekes_etymological_2010}[599]{sokoloff_dictionary_2002},http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/ri&highlight=caraway,,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/ri&highlight=caraway,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,zh,geluzi,peru,z1,,,,,,Mandarin Chinese,葛縷子,gě​lǚ​zi,,,,bean-hemp-seed?,caraway,caraway,phono-semantic matching; see \textit{shilo} `cumin and caraway',,,,,,,yes,,,19?,Modern,,,,,100,kleeman_oxford_2010,,,,,,,,yes,,,
2,yes,zh,geluzi,,,,,,,,Japanese,葛縷子,karyuushi,,,,,caraway,caraway,"probably a transcription of Latin \textit{Carui}, or English \textit{caraway} + \textit{zi}",also キャラウェイ \textit{kyarawei} and 姫茴香 [princess-fennel-spice],,,,,,yes,yes,1822,19,Modern,,,,,,,https://www.google.com/search?q=%22%E8%91%9B%E7%B8%B7%E5%AD%90%22&biw=1280&bih=577&tbs=cdr%3A1%2Ccd_min%3A1%2F1%2F1700%2Ccd_max%3A12%2F31%2F1850&tbm=bks&sxsrf=ALiCzsZqfjrIjC8d0rBeXSyqUt2Uja4Rtg%3A1659444891561&ei=mx7pYpLFIevs2roPwP2h-AY&ved=0ahUKEwjS_qP6maj5AhVrtlYBHcB-CG8Q4dUDCAg&uact=5&oq=%22%E8%91%9B%E7%B8%B7%E5%AD%90%22&gs_lcp=Cg1nd3Mtd2l6LWJvb2tzEANQnARYjBFgtRNoAHAAeACAAUeIAb8BkgEBM5gBAKABAcABAQ&sclient=gws-wiz-books,,,,,,,,,,
3,yes,zh,geluzi,,,,,,yes,from,English,,caraway,,,,,,caraway,,,,,,,,yes,yes,c1440,15,,,,,,caraway,oed,https://www.oed.com/view/Entry/27725,,,,,,,yes,,,
4,yes,zh,geluzi,,,,,,,or from,Medieval Latin,,carui,,,,,id.,caraway,or some allied Romanic form,,,"French carvi, Italian carvi, Spanish carvi (whence Scots carvy, kervie), Old Spanish alcaravea, alcarahueya, Portuguese alcaravia, alcorovia",,,,yes,yes,,,,,,,,caraway,ahd,https://www.ahdictionary.com/word/search.html?q=caraway,,,,,,,yes,,,
5,yes,zh,geluzi,,,,,,,,Arabic,كراويا,karāwiyā,كروياء,karawyā',,,id.,caraway,,loaned to some Eurropean languages with \textit{al-} definite article; via Andalusian Arabic,,,,,,yes,yes,,,,,,,,74,corriente_dictionary_2008,,,,,,,,yes,,,
6,yes,zh,geluzi,,,,,,,,Aramaic,\he{כַרְוָיָא‎}/\sy{ܟܲܪܘܵܝܵܐ},karwāyā,,,,,id.,caraway,,,,,,,,yes,yes,,,,,,,,,[207]{low_aramaeische_1881}[437-438]{low_flora_1924},,cal,,https://cal.huc.edu/oneentry.php?lemma=krwy+N&cits=all,,,,yes,,,
7,yes,zh,geluzi,,,,,,,,Ancient Greek,καρώ,karṓ,κάρον; κάρεον,káron; káreon,,,id.,caraway,"a form of the word \textit{káron}, derived from \textit{káre} `head'; -ṓ form seems Pre-Greek","these forms could not immediately give the Arabic, hence possibly via *καρυΐα \textit{*karuḯa} a typical plant derivation form of καρώ \textit{karṓ}, κάρον \textit{káron}",,"Latin \textit{carum, careum}",,,,,yes,,,,,,,,,[653]{beekes_etymological_2010}[599]{sokoloff_dictionary_2002},http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/ri&highlight=caraway,,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ka/ri&highlight=caraway,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,yes,en,cardamom,lightseagreen,e1,,,,,,English,,cardamom,,,,,,cardamom,,"via post-classical Latin \textit{cardimomum}, a. 1398",Middle English \textit{cardamome},,,,,yes,,?c1425,14,,,,,,cardamom,oed,https://www.oed.com/view/Entry/27836,cardamom,OE,https://www.etymonline.com/word/cardamom,cardamom,ahd,https://www.ahdictionary.com/word/search.html?q=cardamom,yes,,,
2,yes,en,cardamom,,,,,,,later also from,Old French,,cardemome,,,,,id.,cardamom,,,,,modern French \textit{cardamome},,,,yes,c1170,12,,,,,,cardamome,tlfi,https://www.cnrtl.fr/etymologie/cardamome,cardamome,tlfi,https://www.cnrtl.fr/etymologie/cardamome,,,,yes,,,
4,yes,en,cardamom,,,,,,,,Latin,,cardamōmum,,,,,id.,cardamom,,,,,,,,yes,,1,1,,,,,,cardamomum,lewis_latin_1879,http://www.perseus.tufts.edu/hopper/morph?l=card%C4%83m%C5%8Dmum&la=la&can=card%C4%83m%C5%8Dmum0#lexicon,cardamomum,LS,http://www.perseus.tufts.edu/hopper/morph?l=card%C4%83m%C5%8Dmum&la=la&can=card%C4%83m%C5%8Dmum0#lexicon,,,,yes,,,
5,yes,en,cardamom,,,,,,,,Hellenistic Greek,καρδάμωμον,kardámōmon,,,,,id.,cardamom,haplological \gr{κάρδαμ-} \textit{kárdam-} `cress' + \gr{ἄμωμον} \textit{ámōmon} `an Indian spice plant',,,,,,,,yes,-3,-3,,,,,,καρδάμωμον,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/morph?l=karda%2Fmwmon&la=greek&can=karda%2Fmwmon0&prior=card%C4%83m%C5%8Dmum#lexicon,καρδάμωμον,LSJ,http://www.perseus.tufts.edu/hopper/morph?l=karda%2Fmwmon&la=greek&can=karda%2Fmwmon0&prior=card%C4%83m%C5%8Dmum#lexicon,,,,yes,,,
6,yes,en,cardamom,,,,,,,,Ancient Greek,κάρδαμον,kárdamon,,,,,garden cress \taxon{Lepidium sativum},garden cress \taxon{Lepidium sativum},prehaps a loanword,many plant names with \textit{-amon} are clear loanwords; the suffIx \textit{-amon} is known from Pre-Greek,,classical Latin \textit{cardamum},,,connected with Hittite \textit{karšani} `an alcalic plant',,,-4,-4,,,,,,κάρδαμον,liddell_greek-english_1940,http://www.perseus.tufts.edu/hopper/morph?l=ka%2Frdamon&la=greek&can=ka%2Frdamon0&prior=card%C4%83mum&d=Perseus:text:1999.04.0059:entry=cardamum&i=1#lexicon,κάρδαμον,LSJ,http://www.perseus.tufts.edu/hopper/morph?l=ka%2Frdamon&la=greek&can=ka%2Frdamon0&prior=card%C4%83mum&d=Perseus:text:1999.04.0059:entry=cardamum&i=1#lexicon,cardamum,LS,http://www.perseus.tufts.edu/hopper/morph?l=card%C4%83mum&la=la&can=card%C4%83mum0&d=Perseus:text:1999.04.0059:entry=cardamum&i=1#lexicon,yes,,,
7,yes,en,cardamom,,,,,,yes,,unknown,,*,,,,,,,,,,,,,,,,,,,,,,,644,beekes_etymological_2010,,644,beekes_etymological_2010,,,,,yes,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
