include,done,id,class,species,species by,species syn,species syn by,species alt,new name,TCM,historic,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,Taste/Smell,Heat,Major uses,Culinary,Medicinal,pharmaceutical,Pharma en,TCM2,ECMM,Hu zh,Hu en,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Column1,Indonesian,Malay,Persian,Column2
out,,nigella,spice,Nigella sativa,L.,,,,,,,https://powo.science.kew.org/taxon/711687-1,,,,,,,,,Ranunculaceae,nigella; kalonji; black seed; black cumin*; black caraway; fennel flower,,,,seed,Med; As,,,,van_wyk_culinary_2014,,,"Bulgaria, Cyprus, Iran, Iraq, North Caucasus, Romania, Transcaucasus, Turkey, Turkmenistan",9,"Afghanistan, Algeria, Assam, Bangladesh, Central European Rus, Czechoslovakia, East Aegean Is., Egypt, Ethiopia, France, Greece, India, Italy, Kazakhstan, Kirgizstan, Krym, Libya, Morocco, Myanmar, Saudi Arabia, Somalia, Sudan, Tadzhikistan, Tunisia, Turkey-in-Europe, Ukraine, Uzbekistan, Yemen, Yugoslavia",29,,,,,,,,,,,,,,,,III 66,yes,,,,,nigella,,,,,,,,,,,,,,,kerti katicavirág; fekete kömény; fekete hagymamag; parasztbors,,,,,,,,,,,,
out,,olive,other,Olea europaea,L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II 119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,onion powder?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,oregano,herb,Origanum vulgare,,,,,,,,,,,,,,,,,Lamiaceae,oregano; wild marjoram; pizza herb,,,,herb,Eur; C As,,,,van_wyk_culinary_2014,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,osmanthus,flower,Osmanthus fragrans,Lour.,,,,,,,https://powo.science.kew.org/taxon/610878-1,,,,,,,,,Oleaceae,sweet osmanthus flower; fragrant olive; sweet olive; tea olive,,,,flower,E As (China),,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,guihua,"sweet olive, osmanthus, guihua",,,627,,,,sweet osmanthus,,,,sweet osmanthus,,,桂花,guìhuā,cassia-flower,木犀; 九里香? 166 Chennault 2006 ,,,,,,,,,सिलंग,silang,,,,,,,
out,,papaya seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,parsley,herb,Petroselinum crispum,,,,,,,,,,,,,,,,,Apiaceae/Umbelliferae ,parsley,,,,leaf,Eur; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,III 24,,,,,,,,,,,,,番芫荽,fānyánsuī,foreign-coriander,,,,,,,,,,,,,,,,,,
out,,peanut,,Arachis hypogaea,,,,,,,,,,,,,,,,,Leguminosae,peanut; ground nut,,,,seed,S Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,peppermint,herb,Mentha ×  piperita,,,,,,,,,,,,,,,,,Lamiaceae,,,,,leaf; herb,cultigen (Britain),,,,,,,,1,,1,,,,,,,,,,,,,,,,I 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,pink_pepper,spice,Schinus molle,L.,,,S. terebinthifolius,,,,https://powo.science.kew.org/taxon/71044-1,,http://www.theplantlist.org/tpl1.1/record/kew-2480199,,,,,,43851,Anacardiaceae,pink pepper; Peruvian pepper,,,,fruit,Peru,,,,van_wyk_culinary_2014,,,"Argentina Northeast, Brazil South, Chile North, Paraguay, Peru, Uruguay",6,"Algeria, Angola, Ascension, Botswana, California, Canary Is., Cape Provinces, Colombia, Cuba, Ecuador, El Salvador, Eritrea, Ethiopia, Florida, Free State, Greece, Guatemala, Guinea, Hawaii, Iraq, Italy, Libya, Madeira, Mexico Central, Mexico Northeast, Mexico Northwest, Mexico Southwest, Morocco, Northern Provinces, Pakistan, Palestine, Portugal, Puerto Rico, Sardegna, Senegal, Sicilia, Somalia, Spain, St.Helena, Texas, Tunisia, Yemen",42,,,?,pink; bright red,,,,,,?,?,?,,,,,254,,,Christmas berry in Japanese;SAm. Reunion,https://en.wikipedia.org/wiki/Pink_peppercorn,pink peppercorn,,,,,粉红胡椒,,粉紅胡椒,fěnhóng hújiāo,pink-peppercorn,,فلفل وردي,fulful wardī,pink pepper,فلفل بيروفي the plant,rózsaszín bors,,,,,,,,,,,,
out,,pomegranate seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,poppy,,Papaver somniferum,L.,,,,,,,,,,,,,,,,Papaveraceae,opium poppy; poppy,,,,seed,Med; SW As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,I 37,,,,,,poppy seeds,,,,,,,,,,,,,,,mák,,,,,,,,,,,,
out,,rosemary,herb,Rosmarinus officinalis ,,,,,,,,,,,,,,,,,Lamiaceae,,,,,leaf; herb,S & N Eur,,,,,,,,,,,,,,,,,,,,,,,,,,II 122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,round cardamom,,Alpinia hainanensis,K.Schum.,Alpinia katsumadai,Hayata,,,,https://powo.science.kew.org/taxon/795288-1,,,,,,,,,,Zingiberaceae,,,round cardamom,,seed pod,S. China; Vietnam,,,,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,草豆蔻,cǎodòukòu,,,,,,,,,,,,,,,,,,,
out,,round cardamom,spice,Wurfbainia compacta,(Sol. ex Maton) Skornick. & A.D.Poulsen,Amomum compactum,Sol. ex Maton,,,,,https://powo.science.kew.org/taxon/77178274-1,,,,,,,,,Zingiberaceae,,,,,fruit,Sumatra to W. Jawa,,,,,,,"Jawa, Sumatera",2,"China South-Central, Hainan, India, Lesser Sunda Is., Malaya",5,,,,,,,,,,Fructus Amomi Rotundus,,,,,,,,,,,,,,,,,,,豆蔻/白豆蔻,,,,,,,,,,,,,,,,,,,,
out,,rue,,Ruta graveolens,,,,,,,,,,,,,,,,,Rutaceae,rue; common rue; herb of grace,,,,leaf; herb,Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,safflower,,Carthamus tinctorius,,,,,,,,,,,,,,,,,Asteraceae,safflower; false saffron; saffron thistle,,,,flower; fruit,N Afr; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,safflower,petals,"color, no flavour",adulterant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,sage,,Salvia officinalis,Britannica,,,,,,,,,,,,,,,,Lamiaceae,sage; common sage; garden sage,,,,leaf,S Eur; Med,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,I 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Saigon cassia,,Cinnamomum loureiroi,,,,,,,,,,,,,,,,,Lauraceae,Vietnamese cassia; Saigon cinnamon,,,,bark; flower,SE As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,sansho,spice,Zanthoxylum piperitum,(L.) DC.,,,,,,,https://powo.science.kew.org/taxon/775951-1,,,,,,,,,Rutaceae,sansho; Japanese pepper,,,,fruit; leaf,"Japan, Korea",,,,van_wyk_culinary_2014,,,"East Himalaya, Japan, Korea",3,,1,,,Japan?,green,,,,,,,,,,,,,286,,,,,sansho,,,,,,,日本花椒,,,https://zh.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E8%8A%B1%E6%A4%92,?,?,,,japán bors?,,,,,,,,,,,,
out,,santalwood,incense,Santalum album,L.,,,S. spicatum; et al. ,,,,https://powo.science.kew.org/taxon/780592-1,,,,,,,,,Santalaceae,white sandalwood; East Indian sandalwood,,,,wood; oil,East Indies; N. Australia,,,,van_wyk_culinary_2014,,,"Jawa, Lesser Sunda Is., Northern Territory, Philippines, Western Australia",5,"Assam, Bangladesh, Caroline Is., China Southeast, Florida, India, Mauritius, Myanmar, Nepal, Rodrigues, Réunion, Sri Lanka, Taiwan, Thailand, Vietnam",15,,,wiki,,,,,,,?,?,?,,,,III 43,,,,,https://www.britannica.com/plant/sandalwood,santalwood,,,,,,,旃檀,zhān​tán,!!! Sanskrit candana!!!,檀香; 檀木 tánxiāng,الصندل,ṣandal,,,szantálfa,,,,,,,,,,,,
out,,savory,,Satureja hortensis,,,,,,,,,,,,,,,,,Lamiaceae,savory; summer savory; garden savory,,,,leaf; herb,Med,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,sea salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,sesame,spice,Sesamum indicum,L.,,,,,,,https://powo.science.kew.org/taxon/675971-1,,,,,,,,,Pedaliaceae,sesame; sesam,,,,seed,Afr; Ind,,,,van_wyk_culinary_2014,,,"Assam, Bangladesh, India, West Himalaya",4,"Afghanistan, Alabama, Andaman Is., Angola, Belize, Benin, Bolivia, Borneo, Brazil North, Bulgaria, Burkina, Burundi, California, Cambodia, Cameroon, Caroline Is., Central African Repu, Chad, China South-Central, China Southeast, Comoros, Congo, Costa Rica, Cuba, Cyprus, East Himalaya, Egypt, El Salvador, Eritrea, Ethiopia, Fiji, Florida, French Guiana, Gabon, Galápagos, Gambia, Georgia, Ghana, Greece, Guatemala, Guinea, Guinea-Bissau, Guyana, Hainan, Honduras, Iran, Ivory Coast, Japan, Jawa, Kazakhstan, Kenya, Korea, Krym, KwaZulu-Natal, Laos, Lebanon-Syria, Lesser Sunda Is., Liberia, Libya, Louisiana, Madagascar, Malawi, Malaya, Mali, Marianas, Massachusetts, Mauritania, Mauritius, Mexico Gulf, Mexico Southwest, Missouri, Morocco, Mozambique, Myanmar, Nepal, New Jersey, New York, Nicobar Is., Niger, Nigeria, Northern Provinces, Ohio, Oman, Pakistan, Pennsylvania, Peru, Philippines, Rwanda, Saudi Arabia, Senegal, Sierra Leone, Somalia, South Carolina, South European Russi, Spain, Sri Lanka, Sudan, Sulawesi, Sumatera, Suriname, Swaziland, Tadzhikistan, Tanzania, Texas, Thailand, Togo, Transcaucasus, Trinidad-Tobago, Turkey, Turkey-in-Europe, Uganda, Ukraine, Uzbekistan, Venezuela, Vietnam, Wisconsin, Yemen, Yugoslavia, Zambia, Zaïre, Zimbabwe",121,,,"China, El-Salvador, Ethiopia, Guatemala, India, Mexico, Nicaragua",,,0,,,,Semen Sesami,,,,,,III 58,yes,,,,,sesame,,,,,,,,,,,,,,,szezámmag,,,,,,,,,,,,
out,,Siam cardamom,spice,Wurfbainia vera,(Blackw.) Skornick. & A.D.Poulsen,Amomum krervanh,Pierre ex Gagnep.,,,,,https://powo.science.kew.org/taxon/77178294-1,,,,,,,,,Zingiberaceae,Cambodian cardamom; krervanh; Siam cardamom,,,,,"S. Indo-China, Sumatra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,sorrel,,Rumex species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,spearmint,herb,Mentha spicata ,,,,,,,,,,,,,,,,,Lamiaceae,,,,,leaf; herb,Eur,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,sugar,commodity,Saccharum officinarum,L.,,,,,,,https://powo.science.kew.org/taxon/419977-1,,,,,,,,4547,Poaceae,,,,,stalk/stem and its liquid,New Guinea,,,,,,,New Guinea,1,"Alabama, Aldabra, Algeria, Andaman Is., Angola, Assam, Bahamas, Bangladesh, Belize, Benin, Bermuda, Bismarck Archipelago, Borneo, Brazil North, Brazil Northeast, Brazil South, Brazil Southeast, Brazil West-Central, Burkina, Burundi, Cambodia, Cameroon, Canary Is., Caroline Is., Cayman Is., Central African Repu, Chad, China South-Central, China Southeast, Colombia, Comoros, Congo, Cook Is., Costa Rica, Cuba, Cyprus, Dominican Republic, East Himalaya, Easter Is., Ecuador, Egypt, El Salvador, Equatorial Guinea, Fiji, Florida, Galápagos, Gambia, Gilbert Is., Guatemala, Guinea, Guinea-Bissau, Gulf of Guinea Is., Hainan, Haiti, Hawaii, Honduras, India, Iraq, Ivory Coast, Jamaica, Jawa, Korea, Laos, Lebanon-Syria, Leeward Is., Lesser Sunda Is., Line Is., Louisiana, Madagascar, Malaya, Maldives, Marianas, Marquesas, Marshall Is., Mauritius, Mexico Central, Mexico Northwest, Mexico Southeast, Mexico Southwest, Mississippi, Morocco, Myanmar, Nansei-shoto, Nauru, New Caledonia, New Zealand North, Nicaragua, Nicobar Is., Niue, Oman, Panamá, Philippines, Pitcairn Is., Puerto Rico, Rodrigues, Rwanda, Réunion, Samoa, Santa Cruz Is., Senegal, Seychelles, Society Is., Solomon Is., Spain, Sri Lanka, Sulawesi, Sumatera, Taiwan, Tanzania, Texas, Thailand, Tibet, Togo, Tonga, Trinidad-Tobago, Tuamotu, Tubuai Is., Turkey, Tuvalu, Vanuatu, Venezuela, Venezuelan Antilles, Vietnam, West Himalaya, Windward Is., Yemen, Zaïre",127,,,,,,,,,,,,,,,,II 169,,,sugar; saccharum,"officinarum, ""of dispensaries""",,sugar,,sugarcane,,,,,,,,,,,,,,,,,,,,,,,,,
out,,sumac,,Rhus coriaria,,,,,,,,,,,,,,,,,Anacardiaceae,sumac; sumach; spice sumac,,,,fruit,S Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Sumatra benzoin,,Styrax benzoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II 113,,,,,https://en.wikipedia.org/wiki/Styrax#Uses_of_resin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,tarragon,,Artemisia dracunculus,Britannica,,,,,,,,,,,,,,,,Asteraceae,tarragon; French tarragon; estragon,,,,leaves,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tárkony,,,,,,,,,,,,
out,,tea,commodity,Camellia sinensis,(L.) Kuntze,,,,,,,https://powo.science.kew.org/taxon/828548-1,,,,,,,,4442,Theaceae,tea; chai,,,,cured or fresh leaf,SW Ch; NE Burma,,,,van_wyk_culinary_2014,,,"Assam, China South-Central, China Southeast, East Himalaya, Hainan, Laos, Myanmar, Thailand, Vietnam",9,"Andaman Is., Argentina Northeast, Bangladesh, Bolivia, Borneo, Cambodia, China North-Central, Ethiopia, Gulf of Guinea Is., Japan, Korea, Mauritius, Nepal, Réunion, Seychelles, Sri Lanka, Tibet, Trinidad-Tobago, Turkey",19,,,,,,,,,,,,,,,,II 136,,,tea; chai,,,tea,,tea plant,,,,,,,,,,,,,,,,,,,,,,,,,
out,,thyme,herb,Thymus vulgaris ,,,,,,,,,,,,,,,,,Lamiaceae,,,,,leaf; herb,W Med; SE Italy,,,,,,,,1,,1,,,,,,,,,,,,,,,,I 58,,,,,,thyme,,,,,,,百里香,bǎilǐxiāng,phonetic,from Persian آویشن avišan,,,,,,,,,,,,,,,,,
out,,tobacco,,Nicotiana tabacu,L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,truffle and truffle salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,voatsiperifery,,Piper borbonense,,,,,,,,,,,,,,,,,Piperaceae,Madagascar pepper; poivre sauvage; cubebe du pays; betel marron,,,,fruit,Afr (Madag),,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,wasabi,,Eutrema japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,wormwood?,,Artemisia absinthium,,,,,,,,,,,,,,,,,Asteraceae,absinthe; common wormwood,,,,leaves,Euras; N Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Yunnan cardamom,spice,Lanxangia tsao-ko,(Crevost & Lemarié) M.F.Newman & Skornick.,Amomum hongtsaoko Liang et Fang; Amomum tsao-ko Crevost et Lemaire,,,,,,https://powo.science.kew.org/taxon/77178198-1,,,,,,,,,Zingiberaceae,tsao-ko cardamom; large cardamom,,,,fruit & seed,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,327,,,,,,,,,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=240001100,草果,cǎoguǒ,herb-fruit,,,,,,,,,,,,,,,,,,
out,,zedoary,,Curcuma zedoaria,,,,,,,,,,,,,,,,,Zingiberaceae,zedoary; Japanese turmeric,"zadwār in Persian, jadwār in Arabic",,,rhizome,Ind,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,II 181,,,,,,,,,,,,,莪術,ézhú,zedoary-ZHU,,جدوار,jadwār,,,,,,,,,,,,,,,
out,,uzazi,,Zanthoxylum gilletii,,Fagara tessmannii,,,,,,,,,,,,,,,Zanthoxylum,,,,plant: East African satinwood,fruit,W Afr,,,,manual,,West Africa,,,,,0.0,,,,,,,,,Hydroxy-alpha-sanshool,,,,,,,,,,,,uzazi,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Abelmoschus moschatus,,,,,,,,,,,,,,,,,Malvaceae,abelmosk seed; ambrette seed; amber seed; musk mallow; musk okra,,,,seed,E As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Achillea ageratum,,,,,,,,,,,,,,,,,Asteraceae,English mace; sweet nancy; sweet yarrow,,,,leaf; herb,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Achillea atrata,,,,,,,,,,,,,,,,,Asteraceae,black yarrow,,,,herb,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Achillea clavenae,,,,,,,,,,,,,,,,,Asteraceae,bitter yarrow,,,,leaf,As; Eur; N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Achillea erba-rotta,,,,,,,,,,,,,,,,,Asteraceae,alpine yarrow; musk milfoil; musk yarrow,,,,leaf; herb,Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Achillea millefolium,,,,,,,,,,,,,,,,,Asteraceae,common yarrow; fragrant yarrow; milfoil,,,,leaf,As; Eur; N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Achillea nobilis,,,,,,,,,,,,,,,,,Asteraceae,noble milfoil; noble yarrow,,,,leaf,As; Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Achyrocline satureioides,,,,,,,,,,,,,,,,,Asteraceae,alecrim da parede; macela,,,,flower,Afr; S Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Acinos arvensis,,,,,,,,,,,,,,,,,Lamiaceae,basil thyme; mother of thyme; spring savory,,,,herb,N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Acorus calamus,,,,,,,,,,,,,,,,,Acoraceae,calamus; sweet flag,,,,rhizome,As; Eur; N Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Acorus gramineus,,,,,,,,,,,,,,,,,Acoraceae,Chinese sweet grass; Japanese sweet flag; grass leaf sweet flag,,,,rhizome,E As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Adansonia digitata,,,,,,,,,,,,,,,,,Bombacaceae,baobab,,,,leaf; seeds,Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aegle marmelos,,,,,,,,,,,,,,,,,Rutaceae,bael; bel; Bengal quince; Indian bael,,,,leaf,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aeollanthus heliotropoides,,,,,,,,,,,,,,,,,Lamiaceae,chegadinka; macassa,,,,leaf,Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aframomum alboviolaceum,,,,,,,,,,,,,,,,,Zingiberaceae,Cameroon cardamom,,,,leaf,Trop Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aframomum angustifolium,,,,,,,,,,,,,,,,,Zingiberaceae,Madagascar cardamom,,,,seed,Madag,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aframomum daniellii,(Hook.f.) K.Schum.,Aframomum hanburyi,K.Schum.,,,,,,,,,,,,,,Zingiberaceae,bastard Melegueta; Cameroon cardamom,,,African cardamom (Wikipedia),seed,Trop W Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aframomum exscapum,,,,,,,,,,,,,,,,,Zingiberaceae,alligator pepper; grains of paradise,,,,seed,Trop W Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aframomum granumparadisi,,,,,,,,,,,,,,,,,Zingiberaceae,grains of paradise,,,,seed,W Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aframomum macrospermum,,,,,,,,,,,,,,,,,Zingiberaceae,Guinea cardamom,,,,seed,W Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aframomum sceptrum,,,,,,,,,,,,,,,,,Zingiberaceae,black amomum,,,,leaf,W Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Afrostyrax kamerunensis,,,,,,,,,,,,,,,,,Styracaceae,Cameroon garlic tree,,,,bark; seed,Trop Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Afrostyrax lepidophyllus,,,,,,,,,,,,,,,,,Styracaceae,garlic bark (tree),,,,bark; seed,Trop Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Agastache foeniculum,,,,,,,,,,,,,,,,,Lamiaceae,anise hyssop,,,,leaf,N Am; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Agastache mexicana,,,,,,,,,,,,,,,,,Lamiaceae,Mexican giant hyssop; lemon hyssop,,,,leaf,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Agastache rugosa,,,,,,,,,,,,,,,,,Lamiaceae,Chinese giant hyssop; Korean mint,,,,leaf,N Am; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Agathosma betulina,,,,,,,,,,,,,,,,,Rutaceae,buchu; round leaf buchu,,,,leaf,S Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Agathosma crenulata,,,,,,,,,,,,,,,,,Rutaceae,oval leaf buchu,,,,leaf,S Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aglaia odoratissima,,,,,,,,,,,,,,,,,Meliaceae,mock lime; orchid tree,,,,flower,As; W Pac,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Aleurites moluccana,,,,,,,,,,,,,,,,,Euphorbiaceae,candle nut,,,,seed,SE As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,,Alliaria petiolata,,,,,,,,,,,,,,,,,Brassicaceae,garlic mustard,,,,leaf,Eur; Temp As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
