include,done,symp,id,class,desc,species,species by,species syn,species syn by,species alt,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,TCM,TCM DB,Ayurveda,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,pharmaceutical,pharma en,TCM name,ECMM,medicinal group,meridian,action,Hu zh,Hu en,Extra
out,,,chile2,,,Capsicum frutescens,,,,,https://powo.science.kew.org/taxon/316959-2,,,,,,,,4073,Solanaceae,chilli (pepper); chili (pepper); chile; red chilli; hot pepper; bird chilli; Cayenne pepper; Tabasco pepper; piri piri; chilly,,,,fruit,Central America; South America,,,,van_wyk_culinary_2014,,,"Bolivia, Brazil West-Central",2,"Aldabra, Algeria, Andaman Is., Assam, Bangladesh, Belize, Brazil North, Brazil Northeast, Burundi, Cambodia, Canary Is., Caroline Is., Chad, Christmas I., Colombia, Cook Is., Costa Rica, Cuba, Dominican Republic, East Himalaya, El Salvador, Fiji, French Guiana, Galápagos, Gilbert Is., Guatemala, Guinea, Gulf of Guinea Is., Guyana, Haiti, Hawaii, India, Ivory Coast, Jamaica, Jawa, Kazan-retto, Kenya, KwaZulu-Natal, Leeward Is., Line Is., Madeira, Malawi, Marianas, Marquesas, Marshall Is., Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Morocco, Mozambique, Mozambique Channel I, Myanmar, Netherlands Antilles, New Caledonia, New Guinea, New South Wales, Niue, Pakistan, Panamá, Philippines, Puerto Rico, Queensland, Rwanda, Samoa, Society Is., Solomon Is., Sri Lanka, Sudan, Suriname, Swaziland, Tanzania, Thailand, Togo, Tonga, Trinidad-Tobago, Tuamotu, Tunisia, Uganda, Venezuela, Venezuelan Antilles, Vietnam, Wake I., West Himalaya, Windward Is., Yemen, Zambia, Zaïre, Zimbabwe",90,,,,red; green,,,,,"pungent, fiery",4-10,flavors; analgesic,,,,yes,,,Capsicum spp.,,chile,,,"辣椒, 椒",,,,辣椒,làjiāo,pungent-pepper,椒 \textit{jiāo},فلفل حار ,fulful hārr,,,csilipaprika,,Cayenne borsé törökbors,,मिर्च; हरी मिर्च; लाल मिर्च,mirch; hari mirch; lal mirch,,,cabai; cabe; lombok,,,Fructus Capsici acer,,,,,,,,,
out,,,Chinaroot Greenbrier Rhizome,medicine,Dried rhizome of Smilax china L. (Fam. Liliaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,菝葜,bájié,bat6 ? ,,,,,,,,,,,,,,,,,Smilacis Chinae Rhizoma,,,,Wind-dampness-dispelling and heat-clearing medicinal,"sweet, slightly bitter, slightly astringent; neutral","Liver, Kidney",,,
out,,,Chinese Angelica,medicine,Dried root of Angelica sinensis (Oliv.) Diels (Fam. Umbelliferae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,當歸,dānggūi,dong3 gwai1 ,,,,,,,,,,,,,,,,,Angelicae Sinensis Radix,,,,Blood-tonifying medicinal,"pungent, sweet; warm","Liver, Heart, Spleen",,,
out,,,Chinese Arborvitae Kernel,medicine,Dried ripe seed of Platyclasdus orientalis (L.) Franco (Fam. Cupressaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,柏子仁,bǎizǐrén,paak3 zi2 jan4 ,,,,,,,,,,,,,,,,,Platycladi Semen,,,,Heart-nourishing tranquillizing medicinal,sweet; neutral,"Heart, Kidney, Large intestine",,,
out,,,Chinese Arborvitae Twig and Leaf,medicine,Dried twig and leaf of Platyclasdus orientalis (L.) Franco (Fam. Cupressaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,側柏葉,cèbǎiyè,zak1 paak3 jip6 ,,,,,,,,,,,,,,,,,Platycladi Cacumen,,,,Blood-cooling hemostatic medicinal,"bitter, astringent; cold","Lung, Liver, Spleen",,,
out,,,Chinese Cinquefoil,medicine,Dried herb of Potentilla chinensis Ser. (Fam. Rosaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,委陵菜,wěilíngcài,wai2 ling4 coi3 ,,,,,,,,,,,,,,,,,Potentillae Chinensis Herba,,,,Heat-clearing and detoxicating medicinal,bitter; cold,"Liver, Large intestine",,,
out,,,Chinese Clematis Root,medicine,"Dried root and rhizome of Clematis chinensis Osbeck, Clematis hexapetala Pall. or Clematis manshurica Rupr. (Fam. Ranunculaceae)",,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,威靈仙,wēilíngxiān,wai1 ling4 sin1 ,,,,,,,,,,,,,,,,,Clematidis Radix et Rhizoma,,,,Wind-dampness-dispelling and cold-dispersing medicinal,"pungent, salty; warm",Bladder,,,
out,,,Chinese Cork-tree,medicine,Dried bark of Phellodendron chinense Schneid. (Fam. Rutaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,黃柏,huángbǎi,wong4 paak3 ,,,,,,,,,,,,,,,,,Phellodendri Chinensis Cortex,,,,Heat-clearing and dampness-drying medicinal,bitter; cold,"Kidney, Bladder",,,
out,,,Chinese Date,medicine,Dried ripe fruit of Ziziphus jujuba Mill. (Fam. Rhamnaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,大棗,dàzǎo,daai6 zou2 ,,,,,,,,,,,,,,,,,Jujubae Fructus,,,,Qi-tonifying medicinal,sweet; warm,"Spleen, Stomach",,,
out,,,Chinese Dwarf Cherry Seed,medicine,"Dried ripe seed of Prumnus humilis Bge., Prunus japonica Thunb. or Prunus pedunculata Maxim. (Fam. Rosaceae)",,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,鬱李仁,yùlǐrén,wat1 lei5 jan4 ,,,,,,,,,,,,,,,,,Pruni Semen,,,,Laxative medicinal,"pungent, bitter, sweet; neutral","Spleen, Large intestine, Small intestine",,,
out,,,Chinese Eaglewood Wood,medicine,Resin containing wood of Aquilaria sinensis (Lour.) Gilg (Fam. Thymelaeaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,沉香,chénxiāng,cam4 hoeng1 ,,,,,,,,,,,,,,,,,Aquilariae Resinatum Lignum,,,,Qi-regulating medicinal,"pungent, bitter; slightly warm","Spleen, Stomach, Kidney",,,
out,,,Chinese Gall,medicine,"Gall produced mainly by parasitic aphids of Melaphis chinensis (Bell) Baker on the leaf of Rhus chinensis Mill., Rhus potaninii Maxim. or Rhus punjabensis Stew. var. sinica (Diels) Rehd. et Wils. (Fam. Anacardiaceae)",,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,五倍子,wǔbèizǐ,ng5 pui5 zi2 ,,,,,,,,,,,,,,,,,Chinensis Galla,,,,Astringent medicinal,"astringent, sour; cold","Lung, Kidney, Large intestine",,,
out,,,Chinese Gentian,medicine,"Dried root and rhizome of Gentiana manshurica Kitag., Gantiana scabra Bge., Gentiana triflora Pall. or Gentiana rigescens Franch. (Fam. Gentianaceae)",,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,龍膽,lóngdǎn,lung4 daam2 ,,,,,,,,,,,,,,,,,Gentianae Radix et Rhizoma,,,,Heat-clearing and dampness-drying medicinal,bitter; cold,"Liver, Gallbladder",,,
out,,,Chinese Holly Leaf,medicine,Dried leaf of Ilex cornuta Lindl. ex Paxt. (Fam. Aquifoliaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,枸骨葉,jǔgǔyè,gau2 gwat1 jip6 ,,,,,,,,,,,,,,,,,Ilicis Cornutae Folium,,,,Deficiency heat-clearing medicinal,bitter; cool,"Liver, Kidney",,,
out,,,Chinese Lobelia Herb,medicine,Dried herb of Lobelia chinensis Lour. (Fam. Campanulaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,半邊蓮,bànbiānlián,bun3 bin1 lin4 ,,,,,,,,,,,,,,,,,Lobeliae Chinensis Herba,,,,Heat-clearing and detoxicating medicinal,pungent; neutral,"Heart, Small intestine, Lung",,,
out,,,Chinese Lovage,medicine,Dried rhizome and root of Ligusticum sinense Oliv. or Ligusticum jeholense Nakai et Kitag. (Fam. Umbelliferae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,藁本,gǎoběn,gou2 bun2 ,,,,,,,,,,,,,,,,,Ligustici Rhizoma et Radix,,,,Wind-cold-dispersing medicinal,pungent; warm,Bladder,,,
out,,,Chinese Magnoliavine Fruit,medicine,Dried ripe fruit of Schisandra chinensis (Turcz.) Baill. (Fam. Magnoliaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,五味子,wǔwèizǐ,ng5 mei6 zi2 ,,,,,,,,,,,,,,,,,Schisandrae Chinensis Fructus,,,,Astringent medicinal,"sour, sweet; warm","Lung, Heart, Kidney",,,
out,,,Chinese Mosla,medicine,Dried aerial part of Mosla chinensis Maxim. or Mosla chinensis 'Jiangxiangru' (Fam. Labiatae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,香薷,xiāngrú,hoeng1 ? ,,,,,,,,,,,,,,,,,Moslae Herba,,,,Wind-cold-dispersing medicinal,pungent; slightly warm,"Lung, Stomach",,,
out,,,Chinese Pulsatilla Root,medicine,Dried root of Pulsatilla chinensis (Bge.) Regel (Fam. Ranunculaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,白頭翁,báitóuwēng,baak6 tau4 jung1 ,,,,,,,,,,,,,,,,,Pulsatillae Radix,,,,Heat-clearing and detoxicating medicinal,bitter; cold,"Stomach, Large intestine",,,
out,,,Chinese Rose Flower,medicine,Dried flower of Rosa chinensis Jacq. (Fam. Rosaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,月季花,yuèjìhuā,jyut6 gwai3 faa1 ,,,,,,,,,,,,,,,,,Rosae Chinensis Flos,,,,Blood-activating menstruation regulating medicinal,sweet; warm,Liver,,,
out,,,Chinese Starjasmine Stem,medicine,Dried lianoid stem of Trachelospermum jasminoides (Lindl.) Lem. (Fam. Apocynaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,絡石藤,luòshíténg,lok3 sek6 tang4 ,,,,,,,,,,,,,,,,,Trachelospermi Caulis,,,,Wind-dampness-dispelling and heat-clearing medicinal,bitter; slightly cold,"Heart, Liver, Kidney",,,
out,,,Chinese Tamarisk Twig,medicine,Dried young twig and leaf of Tamarix chinensis Lour. (Fam. Tamaricaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,西河柳,xīhélǐu,sai1 ho4 lau5 ,,,,,,,,,,,,,,,,,Tamaricis Cacumen,,,,Wind-dampness-dispelling and cold-dispersing medicinal,"sweet, pungent; neutral","Heart, Lung, Stomach",,,
out,,,Chinese Taxillus Herb,medicine,Dried stem and branch with leaf of Taxillus chinensis (DC.) Danser (Fam. Loranthaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,桑寄生,sāngjìshēng,song1 gei3 sang1 saang1 ,,,,,,,,,,,,,,,,,Taxilli Herba,,,,Wind-dampness-dispelling and strenghten tendon and bone medicinal,"sweet, bitter; neutral","Liver, Kidney",,,
out,,,Chinese Thorowax Root,medicine,Dried root of Bupleurum chinense DC. or Bupleurum scorzonerifolium Willd. (Fam. Umbelliferae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,柴胡,cháihú,caai4 wu4 ,,,,,,,,,,,,,,,,,Bupleuri Radix,,,,Wind-heat dispersing medicinal,bitter; slightly cold,"Liver, Gallbladder",,,
out,,,Chinese waxgourd Peel,medicine,Dried exocarp of Benincasa hispida (Thunb.) Cogn. (Fam. Cucurbitaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,冬瓜皮,dōngguāpí,dung1 gwaa1 pei4 ,,,,,,,,,,,,,,,,,Benincasae Exocarpium,,,,Dampness-draining diuretic medicinal,sweet; cool,"Spleen, Small intestine",,,
out,,,Chinese Wolfberry Root-bark,medicine,Dried root bark of Lycium chinense Mill. or Lycium barbarum L. (Fam. Solanaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,地骨皮,dìgǔpí,dei6 gwat1 pei4 ,,,,,,,,,,,,,,,,,Lycii Cortex,,,,Deficiency heat-clearing medicinal,sweet; cold,"Liver, Lung, Kidney",,,
out,,,Chingma Abutilon Seed,medicine,Dried ripe seed of Abutilon theophrastii Medic. (Fam. Malvaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,苘麻子,qiǒngmázǐ,? maa4 zi2 ,,,,,,,,,,,,,,,,,Abutili Semen,,,,Strangury-relieving diuretic medicinal,bitter; neutral,"Large intestine, Small intestine, Bladder",,,
out,,,chives,,,Allium schoenoprasum,,,,,,,,,,,,,,Alliaceae,chive; chives,,,,leaves,Med; Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,Chlorite Schist,medicine,Black mica schist or a carbonate schist of chlorite mica of metamorphic group,,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,青礞石,qīngméngshí,cing1 ceng1 ? sek6 ,,,,,,,,,,,,,,,,,Chloriti Lapis,,,,Phlegm resolving medicinal,"sweet, salty; neutral","Lung, Heart, Liver",,,
out,,,Christina Loosestrife,medicine,Dried herb of Lysimachia christinae hance (Fam. Primulaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,金錢草,jīnqiáncǎo,gam1 cin4 cou2 ,,,,,,,,,,,,,,,,,Lysimachiae Herba,,,,Dampness-draining anti-icteric medicinal,"sweet, salty; slightly cold","Liver, Gallbladder, Kidney, Bladder",,,
out,,,Chrysanthemum Flower,medicine,Dried capitulum of Chrysanthemum morifolium Ramat. (Fam. Compositae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,菊花,júhuā,guk1 faa1 ,,,,,,,,,,,,,,,,,Chrysanthemi Flos,,,,Wind-heat dispersing medicinal,"sweet, bitter; slightly cold","Lung, Liver",,,
out,,,Chuling,medicine,"Dried sclerotium of the fungus, Polyporus umbellatus (Pers.) Fries (Fam. Polyporaceae)",,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,豬苓,zhūlíng,zyu1 ling4 ,,,,,,,,,,,,,,,,,Polyporus,,,,Dampness-draining diuretic medicinal,"sweet, bland; neutral","Kidney, Bladder",,,
out,,,Cibot Rhizome,medicine,Dried rhizome of Cibotium barometz (L.) J. Sm. (Fam. Dicksoniaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,狗脊,gǒují,gau2 zik3 zek3 ,,,,,,,,,,,,,,,,,Cibotii Rhizoma,,,,Wind-dampness-dispelling and strenghten tendon and bone medicinal,"sweet, bitter; warm","Liver, Kidney",,,
out,,,Cicada Slough,medicine,Slough of the nymph of Cryptotympana pustulata Fabricius (Fam. Cicadidae) during emergence,,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,蟬蛻,chántùi,sin4 teoi3 ,,,,,,,,,,,,,,,,,Cicadae Periostracum,,,,Wind-heat dispersing medicinal,sweet; cold,"Lung, Liver",,,
out,,,cicely,,,Myrrhis odorata,,,,,,,,,,,,,,Apiaceae,cicely; sweet cicely; garden myrrh,,,,fresh herb; fruit,Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in,,,cinnamon,spice,,Cinnamomum verum,J.Presl.,C. zeylanicum,Blume,,https://powo.science.kew.org/taxon/463752-1,,http://www.theplantlist.org/tpl1.1/record/kew-2721692,,,,,,128608,Lauraceae,cinnamon; Ceylon cinnamon,,,,bark; leaf,Sri Lanka; SW. India,,7.0,81.0,van_wyk_culinary_2015,Asia,Sri Lanka,Sri Lanka,1,"Argentina Northeast, Assam, Bangladesh, Borneo, Brazil Southeast, Cambodia, Caroline Is., China Southeast, Comoros, Cook Is., Fiji, Gulf of Guinea Is., Hawaii, India, Jawa, Leeward Is., Mauritius, Myanmar, Philippines, Samoa, Seychelles, Society Is., Taiwan, Tanzania, Vietnam, Windward Is.",26,27.0,26.0,Sri Lanka; Seychelles; Madagascar; India,"warm yellowish-brown, cinnamon \sample{cinnamon}",,,,,"sweet, fragrant, pungent",3,flavor; anti-microbial,,,I 78,104,,,,https://www.britannica.com/plant/cinnamon,cinnamon,,,"桂皮, 肉桂",,锡兰,,錫蘭肉桂,xīlánròuguì,Ceylon-flesh-cinnamon,,قرفة,qirfa,rind; bark,{دارصيني} \textit{dārsīnī},fahéj,tree-bark,,,,,,,,,,Cortex Cinnamoni,,,,,,,,,
out,,,Clam Shell,medicine,Shell of Meretrix meretrix Linnaeus or Cyclina sinensis Gmelin (Fam. Veneridae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,蛤殼,háké,haa4 hok3 ,,,,,,,,,,,,,,,,,Meretricis Seu Cyclinae Concha,,,,Phlegm resolving medicinal,"bitter, salty; cold","Lung, Kidney, Stomach",,,
out,,,Coastal Glehnia Root,medicine,Dried root of Glehnia littoralis Fr. Schmidt ex Miq. (Fam. Umbelliferae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,北沙參,běishācān,bak1 saa1 sam1 ,,,,,,,,,,,,,,,,,Glehniae Radix,,,,Yin-tonifying medicinal,"sweet, slightly bitter; slightly cold","Lung, Stomach",,,
out,,,Cochinchina Momordica Seed,medicine,Dried ripe seed of Momordica cochinchinensis (Lour.) Spreng. (Fam. Cucurbitaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,木鱉子,mùbiēzǐ,muk6 bit3 zi2 ,,,,,,,,,,,,,,,,,Momordicae Semen,,,,Heat-clearing and detoxicating medicinal,"bitter, slightly sweet; cool; toxic","Liver, Spleen, Stomach",,,
out,,,Cochinchinese Asparagus Root,medicine,Dried root tuber of Asparagus cochinchinensis (Lour.) Merr. (Fam. Liliaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,天冬,tiāndōng,tin1 dung1 ,,,,,,,,,,,,,,,,,Asparagi Radix,,,,Yin-tonifying medicinal,"sweet, bitter; cold","Lung, Kidney",,,
out,,,Cockcomb Flower,medicine,Dried capitulum of Celosia cristata L. (Fam. Amaranthaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,雞冠花,jīguānhuā,gai1 gun3 faa1 ,,,,,,,,,,,,,,,,,Celosiae Cristatae Flos,,,,Blood-cooling hemostatic medicinal,sweet; cool,"Liver, Large intestine",,,
out,,,coconut,,,Cocos nucifera,,,,,,,,,,,,,,Arecaceae,coconut,,,,fruit,Trop As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,coffee,commodity,,Coffea arabica,L.,,,,,,,,,,,,,Rubiaceae,coffee; Arabian coffee,,,,seed,NE Afr (Ethiopia),,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,II 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,,Coix Seed,medicine,Dried ripe kernel of Coix lacryma-joni L. var. mayuen (Roman.) Stapf (Fam. Gramineae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,薏苡仁,yìyǐrén,ji3 ? jan4 ,,,,,,,,,,,,,,,,,Coicis Semen,,,,Dampness-draining diuretic medicinal,"sweet, bland; cool","Spleen, Lung, Stomach",,,
out,,,Coloured Mistletoe Herb,medicine,Dried stem and branch with leaf of Viscum coloratum (Komar.) Nakai (Fam. Loranthaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,槲寄生,hújìshēng,huk6 gei3 sang1 saang1 ,,,,,,,,,,,,,,,,,Visci Herba,,,,Wind-dampness-dispelling and strenghten tendon and bone medicinal,bitter; neutral,"Liver, Kidney",,,
out,,,Combined Spicebush Root,medicine,Dried root tuber of Lindera aggeregata (Sims) Kosterm. (Fam. Lauraceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,烏藥,wūyào,wu1 joek6 ,,,,,,,,,,,,,,,,,Linderae Radix,,,,Qi-regulating medicinal,pungent; warm,"Lung, Spleen, Kidney, Bladder",,,
out,,,Common Andrographis Herb,medicine,Dried aerial part of Andrographis paniculata (Burm. f.) Nees (Fam. Acanthaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,穿心蓮,chuānxīnlián,cyun1 sam1 lin4 ,,,,,,,,,,,,,,,,,Andrographis Herba,,,,Heat-clearing and detoxicating medicinal,bitter; cold,"Heart, Lung, Large intestine, Bladder",,,
out,,,Common Anemarrhena Rhizome,medicine,Dried rhizome of Anemarrhena asphodeloides Bge. (Fam. Liliaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,知母,zhīmǔ,zi1 mou5 ,,,,,,,,,,,,,,,,,Anemarrhenae Rhizoma,,,,Heat-clearing and fire-purging medicinal,"bitter, sweet; cold","Lung, Stomach, Kidney",,,
out,,,Common Bletilla Tuber,medicine,Dried tuber of Bletilla strata (Thunb.) Reichb. f. (Fam. Orchidaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,白及,báijí,baak6 kap6 ,,,,,,,,,,,,,,,,,Bletillae Rhizoma,,,,Astringent hemostatic medicinal,"sweet, bitter, astringent; slightly cold","Liver, Lung, Stomach",,,
out,,,Common Burreed Tuber,medicine,Dried root tuber of Sparganium stoloniferum Buch.-Ham. (Fam. Sparganiaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,三棱,sānléng,saam3 ling4 ,,,,,,,,,,,,,,,,,Sparganii Rhizoma,,,,Blood-breaking mass eliminating medicinal,"pungent, bitter; neutral","Liver, Spleen",,,
out,,,Common Clubmoss Herb,medicine,Dried herb of Lycopodium japonicum Thumb. (Fam. Lycopodiaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,伸筋草,shēnjīncǎo,san1 gan1 cou2 ,,,,,,,,,,,,,,,,,Lycopodii Herba,,,,Wind-dampness-dispelling and cold-dispersing medicinal,"slightly bitter, pungent; warm","Liver, Spleen, Kidney",,,
out,,,Common Cnidium Fruit,medicine,Dried ripe fruit of Cnidium monnieri (L.) Cuss. (Fam. Umbelliferae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,蛇床子,shéchuángzǐ,se4 cong4 zi2 ,,,,,,,,,,,,,,,,,Cnidii Fructus,,,,Dry dampness relieve itching and kill worms medicinal,"pungent, bitter; warm; slightly toxic",Kidney,,,
out,,,Common Coltsfoot Flower,medicine,Dried flower bud of Tussilago farfara L. (Fam. Compostiae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,款冬花,kuǎndōnghuā,fun2 dung1 faa1 ,,,,,,,,,,,,,,,,,Farfarae Flos,,,,Cough-suppressing and panting-calming medicinal,"pungent, slightly bitter; warm",Lung,,,
